"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.294682886723254","0.273892774307692","0.309437864417741","0.313901342551121","0.101522842639594","0.117408906882591","0.12035010940919","0.0972827910097286","0.0353437094682231","0.0578503524696731","0.0704047359115412","0.0677734430617652","0.0133917834575945","0.0646656328424114","0.0347389864417031","0.0419537318079731","0.194033855360905","0.237767080224185","0.354385742317814","0.202643980255645","0.201195823259423","0.18584886898146","2.13159624830763","2.10072203608661","1.8103874257509","1.76577672964187","1.81541707617355","1.12692972735512","1.00901200143852","1.36714815873476","1.1551244137603","1.07990547437883","",
"Africa Eastern and Southern","AFE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","0.0992908339105477","0.0898717363728206","0.115434371589417","0.0794432801691397","0.104930552616977","0.451053504634067","0.515775647205559","0.536881157942787","0.544284917579958","0.610386613933362","0.66800382603381","0.743759069825791","0.995229183057002","1.07105314270741","1.05209709932583","1.03899634976431","0.813034488454011","0.952874980502786","0.896061997473856","0.991702429786598","0.772004803240027","0.712596833567849","0.91491702665889","0.821840098852364","0.910865856415217","0.862017222164761","0.733084702630976","0.983011373788776","1.09675304642529","1.15101107511874","1.09370614002001","0.891974873621969","1.0478745094976","0.924986220332869","0.954157739093925","0.67825357313623","0.689789031422449","0.717330953022265","0.79674976422762","0.907781181486192","0.91136580687424","0.97698716659071","0.98196724607875","0.963337380521934","1.05747348946685","1.18051025720763","1.02948594962336","0.982369218667297","1.34799308885953","1.43674740882255","1.48872172722166","1.56032886260586","1.54192137974826","",
"Afghanistan","AFG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.885723669262489","1.13316234334486","2.38515837739971","1.0059846774304","1.10218742803664","1.72321109974161","1.23611373350697","1.8219958039439","3.46484306494719","4.38709328041628","4.45098620665491","4.40742761242297","3.95329685147709","2.2430169473102","","",
"Africa Western and Central","AFW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.430065346207267","0.479422280632008","0.4280881464117","0.480211742909069","0.226666581674525","0.200646543732044","0.268755537075896","0.282987124198916","0.362129396287411","0.518980458912682","0.53138802911692","0.588058419217966","0.632202151839912","0.598181952198029","0.597808549893745","0.722665045038569","1.20573848742566","0.916688452110933","0.514228978047949","0.424423182567545","0.475467153220312","0.410142885857759","1.59504289544305","1.64780323943886","1.48867393309382","1.35697818942748","1.34937818338524","1.70219720082271","5.53999536209871","5.02854192114919","4.66222517549648","4.15930999573494","4.43479979754333","4.0876160705843","4.18023487462603","3.87101868025359","3.45710607288294","3.33118647231654","4.12885739184907","4.16962559463803","4.69265486322642","4.57765798460134","4.30742796812813","3.76134380516097","3.92779714709682","4.07740323956709","",
"Angola","AGO","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0786787753752575","","","","","","","","","0","0","0","0.0927097783858585","0.000230927285032262","0.0214464795465561","0.000183157314750667","0.0315095161445713","0.0276844930404465","0.0227784420752355","0.0122819350457102","0.00755861664156952","0.0019245390908786","0.00198770732531416","0.00485976371642572","0.0166036941702364","0.018992744351928","0.0131158719544219","",
"Albania","ALB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2759615337456","28.0094210219427","16.3268486067455","17.8580021931142","17.2175575878921","13.2963534184062","19.801532657049","12.6769794000821","17.1764074549231","17.8297304636267","16.8711703482753","15.8379965268343","16.1548067697706","16.017038537764","15.2816531330425","13.7489494815148","14.4828076608173","14.261613230389","13.302456889895","12.0402402681923","11.5242826560794","10.0330744349155","10.7423012378312","11.3364376907448","11.010767760015","10.0756529807473","9.62106928646839","9.56258192659504","9.66835659483992","9.58338963069504","9.22610584526998","",
"Andorra","AND","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.668747865825533","1.64013432676391","1.59395871763535","0","",
"Arab World","ARB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.01848679738432","1.85167842016939","2.00905472728542","1.82446020100765","1.90202818463842","1.92196239963979","1.86739914163039","2.01740031020749","1.99783857278174","2.20034423877494","2.32641529498438","2.30863446985853","2.56064473249114","2.49858804491147","2.55837419608714","2.96463742642845","2.92648843742404","2.12456575902682","",
"United Arab Emirates","ARE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","0.0255731116996986","0.0283214484397916","0.0305372290292177","0.0301279033663525","0.0311842381591185","0.0238560449152275","0.0346602088675082","0.0161581685623613","0.0100780109769259","0.00673138932607845","0.0243725533357484","0.0242386581455873","0.0246481295421978","0.0238839095020297","0.0224340040770473","0.0229136648232595","0.0226789361004222","0.030380900529948","0.0705628184933387","0.211442420500352","0.214300874545602","0.189350126740114","0.217417890692876","0.232474118424109","0.210933764847302","0.195029381449765","0.188764794272549","0.152091367663287","0.131541807279184","0.105778682207302","0.0969166746867399","0.0960152008279335","0.0831331023452092","0.0702343224152265","0.0745674778829443","0.0995468179872308","0.125380809015097","0.168011924038753","0.184693263456376","0.200821110481768","",
